book_name,grouping,order_index,chapter,verse,text,pericope
Tobit,deutero,17,1,1,Ki tab ki sah To bit bin To biel bin Ana niel bin Aduel bin Ga bael bin Rafael bin Ra- guel da ri ke tu run an Asiel da ri su ku Naf ta- li.,
Tobit,deutero,17,1,2,"Di zaman Sal maneser, raja orang-orang Asyur, To bit di ang kut ter ta wan da ri Tis be yang terletak di sebe lah selatan Ku dios-Naf- ta li di Gali lea atas di atas Hazor, yakni di se- be lah barat, dan di se be lah utara Fogor. Tobit dalam pembuangan",
Tobit,deutero,17,1,3,"Aku, Tobit menempuh jalan kebenar an dan ke sa leh an se umur hi dup ku dan ba nyak melakukan kebajikan kepada para saudara dan segenap bangsaku yang ber sama dengan daku telah berang kat ke pembuangan, ke ne- geri Asyur ke ko ta Niniwe.",
Tobit,deutero,17,1,4,"Waktu aku ma- sih ting gal di ta nah air ku, yai tu di ta nah Is ra- el, dan ketika aku masih muda, maka se luruh suku Nafta li moyangku memberontak terha- dap keluarga Daud bapaku dan terhadap Ye- rusalem, ko ta yang telah dipilih dari anta ra semua suku Israel, su paya di sana semua su- ku mempersembahkan korban. Memang di sanalah Bait Tuhan, yai tu kediaman Allah, telah dibangun dan ditahbiskan untuk sega- la keturunan sepanjang sekalian abad.",
Tobit,deutero,17,1,5,"Te- ta pi se mua sau da ra ku dan ju ga ru mah ba pa- ku Nafta li mempersembahkan korban kepada anak lembu yang telah dibuat Yerobe am, ra- ja Israel, di kota Dan yang ter letak di pe gu- nungan Gali lea.",
Tobit,deutero,17,1,6,"Pa da hari-ha ri raya sering kali hanya aku se orang di ri sa ja lah yang per gi ke Ye ru sa lem, seba gaimana yang ter surat bagi segenap Is- rael seba gai hukum abadi. Per gi lah aku ke Yerusalem dengan membawa buah bungar- an dan anak sulung dari ternak serta bagian se perse puluh dari hewan dan lagi guntingan perta ma bulu domba.",
Tobit,deutero,17,1,7,"Semuanya kuberi kan ke pa da pa ra imam, ke tu run an Ha run, un tuk mez bah. Bagian seperse puluh dari gandum, anggur, minyak, buah zaitun, buah deli ma dan hasil bumi lainnya kuberi kan kepada ka- um Lewi yang menyelenggarakan kebaktian di Yerusalem. Selama enam ta hun aku pun memungut bagian seperse puluh yang kedua dan setiap tahun aku pergi membia yakannya di Yerusalem.",
Tobit,deutero,17,1,8,"Adapun bagian seperse puluh yang ke ti ga ku be ri kan ke pa da pa ra ya tim pia- tu, para janda dan kaum perantau yang ting- gal di tengah-tengah orang Israel. Tiga tahun sekali bagian seperse puluh itu kubawa un- tuk diberi kan kepada mereka. Itu pun ka mi makan pula menurut aturan yang dite tapkan perihal mereka dalam hukum Taurat Musa dan sesu ai dengan perintah yang telah dibe- ri kan Debora, yaitu ibu Ana niel ayahku. Se- bab waktu ber pulang ayahku meninggalkan aku seba gai yatim piatu.",
Tobit,deutero,17,1,9,"Setelah menja di de wasa aku meng am bil is te ri da ri ke lu ar ga kami sendiri, Ha na namanya. Dari padanya kuperanakkan se orang anak la ki-la ki yang kunamai Tobia.",
Tobit,deutero,17,1,10,"Ke tika diangkut tertawan dan di asing- kan ke ne ge ri Asyur aku per gi ke ko ta Ni ni- we. Semua saudaraku dan kaum sekeluarga makan makan an bangsa asing,",
