book_name,grouping,chapter,verse,mode
Kejadian,old,7,5,basic
Kejadian,old,7,6,basic
Kejadian,old,7,7,basic
Kejadian,old,7,8,basic
Kejadian,old,7,9,basic
Keluaran,old,1,2,basic
Keluaran,old,1,3,basic
Keluaran,old,1,4,basic
Keluaran,old,1,5,basic
Keluaran,old,1,6,basic
Keluaran,old,1,7,basic
Keluaran,old,1,9,basic
Keluaran,old,1,10,basic
Keluaran,old,1,11,basic
Keluaran,old,1,12,basic
Keluaran,old,1,13,basic
Keluaran,old,1,14,basic
Keluaran,old,1,15,basic
Keluaran,old,1,16,basic
Keluaran,old,1,17,basic
Keluaran,old,1,18,basic
Keluaran,old,1,19,basic
Keluaran,old,1,20,basic
Keluaran,old,1,21,basic
Tobit,deutero,14,8,basic
Tobit,deutero,14,11,basic
Tobit,deutero,14,12,basic
Kebijaksanaan Salomo,deutero,19,7,basic
Kebijaksanaan Salomo,deutero,19,8,basic
Kebijaksanaan Salomo,deutero,19,9,basic
Kebijaksanaan Salomo,deutero,19,10,basic
Kebijaksanaan Salomo,deutero,19,11,basic
Kebijaksanaan Salomo,deutero,19,12,basic
Kebijaksanaan Salomo,deutero,19,13,basic
Kebijaksanaan Salomo,deutero,19,14,basic
Kebijaksanaan Salomo,deutero,19,15,basic
Kebijaksanaan Salomo,deutero,19,16,basic
Kebijaksanaan Salomo,deutero,19,17,basic
Sirakh,deutero,3,19,basic
Sirakh,deutero,3,25,basic
Sirakh,deutero,10,21,basic
Sirakh,deutero,13,14,basic
Sirakh,deutero,17,9,basic
Sirakh,deutero,17,18,basic
Sirakh,deutero,17,21,basic
Sirakh,deutero,19,18,basic
Sirakh,deutero,19,19,basic
Sirakh,deutero,19,21,basic
Sirakh,deutero,22,7,basic
Sirakh,deutero,22,8,basic
Sirakh,deutero,26,19,basic
Sirakh,deutero,26,20,basic
Sirakh,deutero,26,21,basic
Sirakh,deutero,26,22,basic
Sirakh,deutero,26,23,basic
Sirakh,deutero,26,24,basic
Sirakh,deutero,26,25,basic
Sirakh,deutero,26,26,basic
Sirakh,deutero,26,27,basic
Sirakh,deutero,30,26,basic
Sirakh,deutero,30,27,basic
Sirakh,deutero,30,28,basic
Sirakh,deutero,32,25,basic
Sirakh,deutero,32,26,basic
Sirakh,deutero,32,27,basic
Sirakh,deutero,32,28,basic
Sirakh,deutero,32,29,basic
Sirakh,deutero,32,30,basic
Sirakh,deutero,34,27,basic
Sirakh,deutero,34,28,basic
Sirakh,deutero,34,29,basic
Sirakh,deutero,34,30,basic
Sirakh,deutero,34,31,basic
Sirakh,deutero,34,32,basic
Sirakh,deutero,35,25,basic
Sirakh,deutero,35,26,basic
Sirakh,deutero,35,27,basic
Sirakh,deutero,35,28,basic
Sirakh,deutero,35,29,basic
Sirakh,deutero,35,30,basic
Sirakh,deutero,35,31,basic
Sirakh,deutero,35,32,basic
Sirakh,deutero,35,33,basic
Sirakh,deutero,36,28,basic
Sirakh,deutero,36,29,basic
Sirakh,deutero,36,30,basic
Sirakh,deutero,36,31,basic
Sirakh,deutero,36,32,basic
Sirakh,deutero,36,33,basic
Sirakh,deutero,36,34,basic
Sirakh,deutero,38,35,basic
Sirakh,deutero,38,36,basic
Sirakh,deutero,39,36,basic
Sirakh,deutero,39,37,basic
Sirakh,deutero,40,31,basic
Sirakh,deutero,40,32,basic
Sirakh,deutero,40,33,basic
Sirakh,deutero,40,34,basic
Sirakh,deutero,40,35,basic
Sirakh,deutero,40,36,basic
Sirakh,deutero,40,37,basic
Sirakh,deutero,40,38,basic
Sirakh,deutero,41,28,basic
Sirakh,deutero,41,29,basic
Sirakh,deutero,41,30,basic
Sirakh,deutero,41,31,basic
Sirakh,deutero,41,32,basic
Sirakh,deutero,41,33,basic
Sirakh,deutero,41,34,basic
Sirakh,deutero,41,35,basic
Sirakh,deutero,41,36,basic
Sirakh,deutero,41,37,basic
Sirakh,deutero,41,38,basic
Sirakh,deutero,41,39,basic
Sirakh,deutero,42,26,basic
Sirakh,deutero,42,27,basic
Sirakh,deutero,42,28,basic
Sirakh,deutero,42,29,basic
Sirakh,deutero,42,30,basic
Sirakh,deutero,42,31,basic
Sirakh,deutero,42,32,basic
Sirakh,deutero,42,33,basic
Sirakh,deutero,42,34,basic
Sirakh,deutero,42,35,basic
Sirakh,deutero,42,36,basic
Sirakh,deutero,42,37,basic
Sirakh,deutero,42,38,basic
Sirakh,deutero,42,39,basic
Sirakh,deutero,42,40,basic
Sirakh,deutero,43,16,basic
Sirakh,deutero,43,17,basic
Sirakh,deutero,43,34,basic
Sirakh,deutero,43,35,basic
Sirakh,deutero,43,36,basic
Sirakh,deutero,43,37,basic
Sirakh,deutero,43,38,basic
Sirakh,deutero,43,39,basic
Sirakh,deutero,43,40,basic
Sirakh,deutero,43,41,basic
Sirakh,deutero,44,24,basic
Sirakh,deutero,44,25,basic
Sirakh,deutero,44,26,basic
Sirakh,deutero,44,27,basic
Sirakh,deutero,44,28,basic
Sirakh,deutero,44,29,basic
Sirakh,deutero,44,30,basic
Sirakh,deutero,44,31,basic
Sirakh,deutero,44,32,basic
Sirakh,deutero,44,33,basic
Sirakh,deutero,44,34,basic
Sirakh,deutero,44,35,basic
