book_name,grouping,chapter,verse,text,pericope,notes
Kejadian,old,1,4,,,Isi teks final ayat di kolom text
Kejadian,old,2,2,,,Isi teks final ayat di kolom text
Kejadian,old,2,3,,,Isi teks final ayat di kolom text
Kejadian,old,2,4,,,Isi teks final ayat di kolom text
Kejadian,old,2,5,,,Isi teks final ayat di kolom text
Kejadian,old,2,6,,,Isi teks final ayat di kolom text
Kejadian,old,7,2,,,Isi teks final ayat di kolom text
Kejadian,old,7,3,,,Isi teks final ayat di kolom text
Keluaran,old,7,2,,,Isi teks final ayat di kolom text
Keluaran,old,7,3,,,Isi teks final ayat di kolom text
Keluaran,old,7,4,,,Isi teks final ayat di kolom text
Keluaran,old,7,5,,,Isi teks final ayat di kolom text
Keluaran,old,7,6,,,Isi teks final ayat di kolom text
Keluaran,old,7,7,,,Isi teks final ayat di kolom text
Keluaran,old,7,8,,,Isi teks final ayat di kolom text
Keluaran,old,7,9,,,Isi teks final ayat di kolom text
Tobit,deutero,9,3,,,Isi teks final ayat di kolom text
Sirakh,deutero,1,5,,,Isi teks final ayat di kolom text
Sirakh,deutero,1,7,,,Isi teks final ayat di kolom text
Sirakh,deutero,1,21,,,Isi teks final ayat di kolom text
Sirakh,deutero,11,15,,,Isi teks final ayat di kolom text
Sirakh,deutero,11,16,,,Isi teks final ayat di kolom text
Sirakh,deutero,17,5,,,Isi teks final ayat di kolom text
Sirakh,deutero,18,3,,,Isi teks final ayat di kolom text
Sirakh,deutero,23,26,,,Isi teks final ayat di kolom text
Sirakh,deutero,24,18,,,Isi teks final ayat di kolom text
Sirakh,deutero,25,12,,,Isi teks final ayat di kolom text
Sirakh,deutero,37,32,,,Isi teks final ayat di kolom text
Sirakh,deutero,37,33,,,Isi teks final ayat di kolom text
Sirakh,deutero,37,34,,,Isi teks final ayat di kolom text
Sirakh,deutero,37,35,,,Isi teks final ayat di kolom text
Barukh,deutero,1,15,,,Isi teks final ayat di kolom text
Matius,new,5,2,,,Isi teks final ayat di kolom text
