book_name,grouping,chapter,verse
Barukh,deutero,1,15
Kejadian,old,1,4
Kejadian,old,2,2
Kejadian,old,2,3
Kejadian,old,2,4
Kejadian,old,2,5
Kejadian,old,2,6
Kejadian,old,7,2
Kejadian,old,7,3
Keluaran,old,7,2
Keluaran,old,7,3
Keluaran,old,7,4
Keluaran,old,7,5
Keluaran,old,7,6
Keluaran,old,7,7
Keluaran,old,7,8
Keluaran,old,7,9
Matius,new,5,2
Sirakh,deutero,1,5
Sirakh,deutero,1,7
Sirakh,deutero,1,21
Sirakh,deutero,11,15
Sirakh,deutero,11,16
Sirakh,deutero,17,5
Sirakh,deutero,18,3
Sirakh,deutero,23,26
Sirakh,deutero,24,18
Sirakh,deutero,25,12
Sirakh,deutero,37,32
Sirakh,deutero,37,33
Sirakh,deutero,37,34
Sirakh,deutero,37,35
Tobit,deutero,9,3
